year,ΔΡΑΜΑΣ,ΚΑΒΑΛΑΣ,ΕΒΡΟΥ,ΞΑΝΘΗΣ,ΡΟΔΟΠΗΣ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΙΛΚΙΣ,ΠΕΛΛΗΣ,ΠΙΕΡΙΑΣ,ΣΕΡΡΩΝ,ΧΑΛΚΙΔΙΚΗΣ,ΓΡΕΒΕΝΩΝ,ΚΑΣΤΟΡΙΑΣ,ΚΟΖΑΝΗΣ,ΦΛΩΡΙΝΗΣ,ΚΑΡΔΙΤΣΗΣ,ΛΑΡΙΣΗΣ,ΜΑΓΝΗΣΙΑΣ,ΤΡΙΚΑΛΩΝ,ΑΡΤΗΣ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ,ΠΡΕΒΕΖΗΣ,ΖΑΚΥΝΘΟΥ,ΚΕΡΚΥΡΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΛΕΥΚΑΔΟΣ,ΑΙΤΩΛΙΑΣ_ΚΑΙ_ΑΚΑΡΝΑΝΙΑΣ,ΑΧΑΙΑΣ,ΗΛΕΙΑΣ,ΒΟΙΩΤΙΑΣ,ΕΥΒΟΙΑΣ,ΕΥΡΥΤΑΝΙΑΣ,ΦΘΙΩΤΙΔΟΣ,ΦΩΚΙΔΟΣ,ΑΡΓΟΛΙΔΟΣ,ΑΡΚΑΔΙΑΣ,ΚΟΡΙΝΘΙΑΣ,ΛΑΚΩΝΙΑΣ,ΜΕΣΣΗΝΙΑΣ,ΛΕΣΒΟΥ,ΣΑΜΟΥ,ΧΙΟΥ,ΔΩΔΕΚΑΝΗΣΟΥ,ΚΥΚΛΑΔΩΝ,ΗΡΑΚΛΕΙΟΥ,ΛΑΣΙΘΙΟΥ,ΡΕΘΥΜΝΗΣ,ΧΑΝΙΩΝ,ΑΤΤΙΚΗ
2000-12-31,1080.0,1419.0,1617.0,938.0,1087.0,1320.0,8377.0,955.0,1420.0,1180.0,2356.0,932.0,398.0,479.0,1349.0,613.0,1532.0,2619.0,2073.0,1518.0,922.0,485.0,1655.0,561.0,435.0,1235.0,465.0,328.0,2421.0,2867.0,1966.0,1297.0,2137.0,257.0,1891.0,490.0,1052.0,1329.0,1427.0,1312.0,2172.0,1421.0,550.0,657.0,1295.0,1073.0,2425.0,867.0,750.0,1472.0,34086.0
2001-12-31,1172.0,1552.0,1568.0,868.0,1096.0,1369.0,8106.0,953.0,1376.0,1141.0,2223.0,910.0,395.0,508.0,1363.0,552.0,1543.0,2572.0,2017.0,1583.0,855.0,427.0,1577.0,614.0,379.0,1110.0,441.0,286.0,2251.0,2825.0,2039.0,1222.0,2231.0,235.0,1837.0,498.0,1015.0,1327.0,1435.0,1094.0,2126.0,1337.0,546.0,589.0,1317.0,1023.0,2419.0,831.0,738.0,1358.0,33079.0
2002-12-31,1101.0,1588.0,1581.0,785.0,1146.0,1338.0,8346.0,957.0,1373.0,1086.0,2243.0,1008.0,414.0,449.0,1471.0,512.0,1564.0,2607.0,2232.0,1572.0,920.0,428.0,1631.0,636.0,418.0,1346.0,431.0,287.0,2154.0,2849.0,1822.0,1286.0,2191.0,272.0,1914.0,539.0,1011.0,1260.0,1446.0,1237.0,2054.0,1311.0,520.0,641.0,1336.0,1135.0,2352.0,835.0,813.0,1481.0,33410.0
2003-12-31,1139.0,1484.0,1689.0,887.0,1096.0,1347.0,8650.0,877.0,1411.0,1222.0,2307.0,974.0,398.0,516.0,1490.0,550.0,1532.0,2485.0,2043.0,1582.0,897.0,469.0,1656.0,569.0,434.0,1240.0,463.0,315.0,2392.0,2931.0,1917.0,1259.0,2296.0,238.0,1864.0,524.0,954.0,1318.0,1491.0,1143.0,2100.0,1313.0,559.0,699.0,1430.0,1101.0,2439.0,907.0,793.0,1470.0,34165.0
2004-12-31,1099.0,1551.0,1633.0,874.0,1092.0,1379.0,8598.0,923.0,1470.0,1205.0,2251.0,974.0,356.0,496.0,1502.0,583.0,1531.0,2663.0,2188.0,1632.0,926.0,407.0,1620.0,614.0,422.0,1226.0,434.0,290.0,2294.0,2928.0,1950.0,1232.0,2362.0,201.0,1871.0,502.0,1078.0,1201.0,1514.0,1027.0,2000.0,1313.0,522.0,625.0,1360.0,1014.0,2362.0,854.0,745.0,1363.0,34182.0
2005-12-31,1105.0,1593.0,1636.0,936.0,1158.0,1377.0,8813.0,984.0,1449.0,1180.0,2309.0,990.0,407.0,485.0,1461.0,563.0,1486.0,2511.0,2088.0,1457.0,906.0,462.0,1615.0,596.0,381.0,1181.0,430.0,293.0,2288.0,3021.0,2006.0,1237.0,2161.0,274.0,1853.0,451.0,1030.0,1203.0,1459.0,1029.0,2008.0,1237.0,562.0,614.0,1425.0,1033.0,2365.0,873.0,827.0,1464.0,34234.0
2006-12-31,1101.0,1612.0,1699.0,886.0,1156.0,1333.0,8879.0,1005.0,1506.0,1206.0,2360.0,1014.0,393.0,500.0,1506.0,525.0,1439.0,2575.0,2006.0,1553.0,893.0,489.0,1579.0,642.0,407.0,1279.0,435.0,289.0,2319.0,3018.0,1929.0,1222.0,2220.0,239.0,1871.0,478.0,1057.0,1183.0,1566.0,1133.0,2039.0,1348.0,494.0,598.0,1378.0,1017.0,2535.0,821.0,727.0,1550.0,33959.0
2007-12-31,1186.0,1654.0,1694.0,962.0,1155.0,1479.0,9434.0,1014.0,1325.0,1284.0,2504.0,1048.0,398.0,499.0,1523.0,562.0,1600.0,2767.0,2227.0,1586.0,902.0,436.0,1675.0,651.0,407.0,1241.0,433.0,266.0,2350.0,3107.0,1954.0,1401.0,2317.0,249.0,1846.0,503.0,1102.0,1253.0,1618.0,1165.0,1989.0,1382.0,507.0,561.0,1477.0,1034.0,2580.0,848.0,790.0,1528.0,35880.0
2008-12-31,1144.0,1574.0,1720.0,895.0,1169.0,1505.0,9216.0,1028.0,1508.0,1247.0,2447.0,1049.0,456.0,557.0,1464.0,600.0,1499.0,2720.0,2159.0,1628.0,899.0,499.0,1744.0,649.0,408.0,1337.0,440.0,321.0,2380.0,3016.0,1924.0,1257.0,2234.0,233.0,1855.0,533.0,1156.0,1211.0,1504.0,1116.0,2009.0,1261.0,500.0,562.0,1453.0,964.0,2542.0,827.0,715.0,1476.0,34858.0
2009-12-31,1207.0,1667.0,1722.0,925.0,1132.0,1349.0,9303.0,1048.0,1567.0,1250.0,2414.0,1028.0,427.0,503.0,1539.0,565.0,1588.0,2684.0,2231.0,1626.0,905.0,486.0,1624.0,626.0,383.0,1282.0,410.0,318.0,2318.0,3053.0,2002.0,1292.0,2052.0,214.0,1827.0,474.0,1115.0,1186.0,1535.0,1100.0,2066.0,1289.0,474.0,632.0,1435.0,1070.0,2513.0,853.0,666.0,1402.0,35443.0
2010-12-31,1254.0,1671.0,1778.0,1011.0,1198.0,1496.0,9414.0,1036.0,1674.0,1302.0,2614.0,974.0,418.0,546.0,1505.0,635.0,1571.0,2699.0,2037.0,1683.0,919.0,473.0,1587.0,536.0,445.0,1069.0,417.0,312.0,2353.0,3107.0,1881.0,1348.0,2010.0,199.0,1832.0,471.0,1129.0,1170.0,1639.0,1115.0,1908.0,1282.0,413.0,654.0,1461.0,1064.0,2601.0,846.0,700.0,1426.0,35564.0
2011-12-31,1209.0,1649.0,1777.0,972.0,1165.0,1571.0,9394.0,1069.0,1666.0,1281.0,2461.0,982.0,452.0,548.0,1512.0,612.0,1592.0,2808.0,2209.0,1683.0,934.0,515.0,1621.0,691.0,377.0,1151.0,464.0,274.0,2470.0,3013.0,1903.0,1290.0,2365.0,233.0,1926.0,491.0,1096.0,1079.0,1680.0,1143.0,2031.0,1225.0,467.0,571.0,1507.0,1183.0,2511.0,882.0,724.0,1575.0,36472.0
2012-12-31,1330.0,1641.0,1873.0,1010.0,1268.0,1629.0,10079.0,1205.0,1688.0,1389.0,2804.0,1144.0,458.0,511.0,1698.0,632.0,1588.0,2903.0,2257.0,1850.0,971.0,490.0,1750.0,683.0,440.0,1291.0,436.0,331.0,2494.0,3221.0,1991.0,1392.0,2486.0,241.0,1972.0,503.0,1239.0,1208.0,1679.0,1150.0,2134.0,1388.0,543.0,576.0,1589.0,1080.0,2710.0,845.0,780.0,1546.0,37917.0
